hotel,lead_time,arrival_month,arrival_week_number,stays_in_week_nights,stays_in_weekend_nights,adults,children,babies,room_type,previous_cancellations,previous_bookings_not_canceled,adr,occupancy_rate
City Hotel,254,3,42,0,0,3,2,0,Family,2,8,6567.25,0.504
Resort Hotel,29,4,12,7,2,2,1,1,Family,4,8,8188.41,0.652
City Hotel,263,7,2,2,3,1,1,0,Deluxe,4,7,5057.3,0.781
City Hotel,97,3,14,4,3,2,1,1,Deluxe,2,1,5996.85,0.65
City Hotel,312,9,42,2,3,1,2,1,Family,0,4,7411.88,0.797
Resort Hotel,328,8,17,3,0,2,2,0,Standard,4,7,4727.04,0.757
City Hotel,114,4,13,1,3,2,2,0,Standard,1,7,3458.79,0.598
City Hotel,275,1,1,2,3,1,2,1,Family,3,6,6778.15,0.481
City Hotel,280,1,47,5,1,2,1,1,Deluxe,0,3,5127.42,0.617
Resort Hotel,274,1,1,7,2,3,1,0,Standard,2,2,4511.7,0.437
City Hotel,260,1,47,1,3,2,2,0,Deluxe,3,7,5257.79,0.575
City Hotel,330,8,26,4,3,3,2,1,Standard,3,7,4433.25,0.747
City Hotel,206,3,52,1,2,3,1,0,Family,1,9,6792.1,0.47
City Hotel,327,6,47,2,2,2,1,0,Suite,0,4,9269.45,0.556
Resort Hotel,210,3,46,2,0,3,0,0,Suite,3,2,8111.43,0.626
City Hotel,214,11,13,5,0,3,2,0,Deluxe,0,4,6924.92,0.796
Resort Hotel,39,5,34,0,0,2,0,1,Deluxe,1,3,5024.58,0.661
Resort Hotel,25,7,40,7,2,1,1,1,Standard,2,7,4293.65,0.653
Resort Hotel,26,2,9,5,1,1,1,1,Family,3,1,8298.31,0.703
City Hotel,189,6,51,2,3,3,2,0,Standard,3,7,4653.72,0.709
Resort Hotel,82,6,19,6,2,3,0,1,Family,3,9,7685.56,0.784
City Hotel,169,11,23,1,1,1,1,1,Family,0,5,8383.17,0.749
Resort Hotel,166,3,41,5,2,3,0,0,Deluxe,3,3,6016.69,0.675
Resort Hotel,187,6,28,5,1,1,0,0,Suite,0,2,8001.37,0.618
Resort Hotel,168,10,30,7,2,2,0,1,Suite,4,9,9471.72,0.717
Resort Hotel,288,10,7,6,2,3,0,1,Deluxe,4,4,6853.29,0.628
Resort Hotel,228,5,14,6,1,2,0,0,Suite,0,5,9056.72,0.67
Resort Hotel,96,12,2,6,1,1,2,0,Deluxe,4,0,6826.95,0.698
Resort Hotel,15,2,12,7,1,1,2,0,Standard,1,0,3337.35,0.488
Resort Hotel,278,9,43,0,1,2,0,0,Family,1,9,7517.03,0.59
City Hotel,134,8,49,2,1,3,2,0,Suite,4,2,9960.3,0.51
City Hotel,25,3,2,2,1,2,1,1,Suite,2,1,8570.87,0.567
Resort Hotel,351,8,28,4,1,2,0,1,Standard,0,0,3844.98,0.629
Resort Hotel,11,9,28,7,1,3,2,1,Standard,4,7,6521.3,0.758
